Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (VND),Competitive Density,SERP Features
cách chơi rubik 4x4,Informational,480,"1.00,1.00,0.81,0.67,0.54,0.67,0.81,0.81,0.81,0.81,0.81,0.44",46,0.00,0.08,"Sitelinks, Image pack, Video, Related searches"
cách chơi rắn săn mồi trên máy tính casio 580,Informational,480,"0.26,0.39,1.00,0.88,0.48,0.32,0.26,0.39,0.26,0.14,0.04,0.07",27,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi sinestrea,"Informational, Commercial",480,"0.37,0.55,1.00,0.37,0.30,0.25,0.30,0.30,0.37,0.45,0.25,0.30",41,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
cách chơi số đề,Informational,480,"1.00,0.66,0.81,0.66,0.66,0.54,0.81,0.66,0.54,0.54,0.54,0.54",16,0.00,0.00,"Image pack, Video, Related searches"
cách chơi tft,"Informational, Commercial",480,"0.44,0.36,0.36,0.55,1.00,0.67,0.67,0.67,1.00,0.82,0.44,0.44",53,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
cách chơi tài xỉu bóng đá,"Informational, Commercial",480,"0.43,1.00,0.14,0.14,0.57,0.14,0.14,0.14,0.57,0.14,0.14,0.14",47,0.00,0.01,"Sitelinks, Related searches"
cách chơi vietlott 6 55,"Informational, Commercial",480,"1.00,0.54,0.81,0.67,0.67,0.44,1.00,0.81,0.54,0.67,0.81,1.00",47,0.00,0.00,"Image pack, Video, Related searches"
cách chơi vietlott qua điện thoại,Informational,480,"1.00,0.29,0.44,0.36,0.29,0.29,0.54,0.44,0.44,0.36,0.44,0.67",58,1057.08,0.06,"Sitelinks, Image pack, Video, Related searches"
cách chơi vé số vietlott,"Informational, Commercial",480,"0.81,0.35,0.67,0.67,0.67,0.54,1.00,0.67,0.67,0.67,0.67,1.00",53,0.00,0.01,"Sitelinks, Image pack, Video, Related searches"
cách chơi xì dách luôn thắng,"Informational, Commercial",480,"0.06,1.00,0.20,0.09,0.06,0.05,0.06,0.05,0.05,0.04,0.04,0.04",23,0.00,0.00,"Video, Related searches"
cách chơi xóc đĩa ngoài đời,"Informational, Commercial",480,"0.36,0.36,0.36,0.44,0.44,1.00,1.00,0.54,0.36,0.36,0.29,0.24",43,16913.32,0.09,"Video, Related searches"
cách chơi xổ số keno dễ trúng,"Informational, Commercial",480,"1.00,0.67,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00",47,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
cách chơi zata,"Informational, Commercial",480,"0.67,0.55,0.55,0.67,0.67,0.67,1.00,0.82,0.67,0.44,0.24,0.24",59,0.00,0.00,"AI Overview, Related searches"
cách làm đồ chơi dân gian,Informational,480,"0.04,0.03,0.05,0.16,0.05,0.04,0.04,0.30,1.00,0.55,0.07,0.04",22,0.00,0.29,"Sitelinks, Image, Image pack, Video, Related searches"
cách làm đồ chơi từ nắp chai nhựa,Informational,480,"0.66,0.44,1.00,0.81,0.66,0.24,0.44,0.54,0.54,0.19,0.12,0.12",11,0.00,0.50,"Sitelinks, Image pack, Video, Related searches"
cách tạo trò chơi trên powerpoint,"Informational, Transactional",480,"0.19,0.55,1.00,0.82,0.67,0.30,0.55,0.67,0.55,0.24,0.10,0.12",25,0.00,0.00,"Image pack, Video, Related searches"
cờ vây cách chơi,"Informational, Commercial",480,"0.81,0.66,0.66,0.66,0.66,0.81,0.66,0.66,0.66,1.00,1.00,0.66",51,0.00,0.12,"Sitelinks, AI Overview, Image pack, Video, Related searches"
poker cách chơi,"Informational, Commercial",480,"0.54,0.44,0.29,0.36,0.36,1.00,0.67,0.36,0.36,0.44,0.36,0.67",36,0.00,0.00,"Sitelinks, Video, Related searches"
uno flip cách chơi,Informational,480,"1.00,0.82,0.67,0.54,0.54,0.82,0.82,0.54,0.67,0.82,0.82,0.82",24,264.27,0.24,"Sitelinks, AI Overview, Image pack, Video, Related searches"
chứng khoán là gì cách chơi chứng khoán,"Informational, Commercial",390,"0.54,0.54,0.67,0.67,0.54,0.36,0.82,1.00,0.67,0.36,0.29,0.15",12,6871.04,0.43,"Sitelinks, AI Overview, Image pack, Video, Related searches, Ads bottom"
cách chơi axie infinity,"Informational, Commercial",390,"0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.30,1.00,0.77,0.45,0.68",19,0.00,0.00,"Sitelinks, Video, Related searches"
cách chơi bowling,"Informational, Commercial",390,"1.00,0.67,0.67,0.67,0.44,0.44,0.67,0.54,0.54,0.54,0.54,0.44",25,0.00,0.04,"AI Overview, Image pack, Video, Related searches"
cách chơi butterfly,"Informational, Commercial",390,"0.81,0.66,0.44,0.44,0.81,0.66,0.66,0.66,0.81,1.00,1.00,0.81",59,0.00,0.00,"Image pack, Video, Related searches"
cách chơi bài catte,"Informational, Commercial",390,"0.19,0.16,0.16,0.19,0.19,1.00,0.67,0.24,0.16,0.16,0.16,0.16",46,0.00,0.00,"Video, Related searches"
cách chơi bài liêng,Informational,390,"0.29,0.19,0.19,0.19,0.29,1.00,0.82,0.29,0.24,0.19,0.24,0.19",51,0.00,0.01,"Video, Related searches"
cách chơi bài tam cúc,Informational,390,"0.81,0.54,0.44,0.44,0.44,1.00,0.81,0.54,0.44,0.44,0.44,0.35",32,0.00,0.01,"Sitelinks, Video, Knowledge panel, Related searches"
cách chơi bóng đá,Informational,390,"0.09,0.11,0.16,0.16,1.00,0.37,0.20,0.16,0.16,0.11,0.04,0.06",48,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
cách chơi chung minecraft pc,Informational,390,"0.54,0.54,0.36,0.36,0.24,0.29,0.36,0.44,0.54,0.82,1.00,0.67",34,0.00,0.00,"Featured snippet, Sitelinks, Video, Related searches"
cách chơi chung với bạn be trong minecraft pe,Informational,390,"1.00,0.54,0.44,0.44,0.36,0.44,0.29,0.36,0.29,0.54,1.00,0.54",34,0.00,0.00,"Featured snippet, Sitelinks, Video, Related searches"
cách chơi chứng khoán vietcombank,Informational,390,"1.00,0.82,1.00,0.82,0.82,0.67,1.00,1.00,1.00,0.67,0.44,0.82",20,3435.52,0.40,"AI Overview, Image pack, Video, Related searches, Ads top, Ads bottom, Ads middle"
cách chơi cá sấu lên bờ,Informational,390,"0.01,0.01,1.00,0.19,0.12,0.01,0.01,0.03,0.08,0.01,0.01,0.06",21,0.00,0.00,"Featured snippet, AI Overview, Image pack, Video, Related searches"
cách chơi cờ caro,Informational,390,"0.81,0.67,0.67,0.67,0.44,0.67,0.67,0.54,0.54,0.81,1.00,1.00",38,264.27,0.16,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
cách chơi cờ liên quân,"Informational, Commercial",390,"0.81,0.67,0.67,0.67,0.67,0.67,0.81,1.00,0.81,0.54,0.54,0.35",49,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi cờ tỷ phú bằng giấy,"Informational, Commercial",390,"1.00,0.67,0.44,0.54,0.44,0.82,0.82,0.54,0.44,0.82,1.00,0.82",56,0.00,0.91,"Sitelinks, Image pack, Video, Related searches"
cách chơi ff,Informational,390,"1.00,1.00,0.81,0.67,0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.67",23,0.00,0.00,"AI Overview, Image pack, Video, Related searches"
cách chơi fifa,Informational,390,"1.00,1.00,0.81,0.67,0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.67",22,0.00,0.00,"Image pack, Video, Related searches"
cách chơi game trên facebook,Navigational,390,"1.00,0.82,0.67,0.67,0.82,0.67,0.67,0.54,0.44,0.54,0.67,0.54",27,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches"
cách chơi guitar,Informational,390,"1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00,0.82",24,1057.08,0.20,"Image pack, Video, Related searches"
cách chơi gái,"Informational, Commercial",390,"1.00,0.82,0.82,0.82,0.82,0.67,0.82,0.82,0.67,0.67,0.82,0.67",53,0.00,0.01,Related searches
cách chơi lô to giấy,"Informational, Commercial",390,"0.67,0.35,0.35,0.29,0.44,1.00,0.67,0.23,0.10,0.15,0.15,0.19",65,0.00,0.30,"Sitelinks, Image pack, Video, Related searches"
cách chơi rubik 3x3,"Informational, Commercial",390,"1.00,1.00,0.66,0.66,0.81,0.81,0.66,0.66,0.53,0.81,0.66,0.44",48,264.27,0.08,"Sitelinks, Image pack, Video, Related searches"
cách chơi rút gỗ,Informational,390,"1.00,0.82,0.67,0.67,0.54,0.82,0.67,0.67,0.67,1.00,1.00,0.82",21,0.00,0.50,"Sitelinks, Knowledge panel, Related searches"
cách chơi rồng rắn lên mây,"Informational, Commercial",390,"0.44,0.54,0.54,1.00,0.81,0.81,0.44,0.81,0.81,0.66,0.54,0.44",15,264.27,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
cách chơi solitaire,"Informational, Transactional",390,"1.00,0.82,0.67,0.67,0.67,1.00,0.82,0.67,0.44,0.82,0.67,0.54",28,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi tam cúc,Informational,390,"0.67,0.54,0.35,0.29,0.44,1.00,0.81,0.54,0.44,0.54,0.54,0.54",28,0.00,0.02,"Sitelinks, Video, Related searches"
cách chơi tik tok,"Informational, Transactional",390,"1.00,0.82,1.00,0.82,0.82,0.44,0.67,0.67,0.54,0.54,0.54,0.54",28,264.27,0.17,"Image pack, Video, Related searches"
cách chơi trò chơi kéo co,"Informational, Commercial",390,"0.07,0.54,0.81,0.81,1.00,0.66,0.66,0.81,1.00,0.54,0.08,0.05",33,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi tá lả,"Informational, Commercial",390,"0.36,0.29,0.24,0.19,0.29,1.00,0.81,0.29,0.29,0.36,0.36,0.29",36,0.00,0.00,"Video, Related searches"
cách chơi tú lơ khơ,Informational,390,"0.81,0.66,1.00,0.66,0.53,1.00,0.66,0.53,0.34,0.44,0.44,0.34",63,0.00,0.01,"Video, Video carousel, Related searches"
cách chơi tổ tôm,"Informational, Transactional",390,"1.00,0.81,0.66,0.66,0.53,0.81,1.00,0.66,0.53,0.53,0.53,0.44",52,0.00,0.00,"Sitelinks, Video, Related searches"
cách chơi xổ số keno,"Informational, Commercial",390,"1.00,0.67,0.81,0.81,0.67,0.67,0.81,0.81,0.54,0.67,0.67,0.81",47,0.00,0.00,"Image pack, Video, Related searches"
cách chơi đế chế,"Informational, Commercial",390,"0.66,0.81,0.81,0.54,0.66,0.54,0.54,0.81,1.00,0.81,0.66,0.66",48,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
cách chơi đề,Informational,390,"1.00,0.82,1.00,0.82,0.82,0.82,1.00,1.00,0.82,0.67,0.67,0.67",30,0.00,0.00,"Image pack, Video, Related searches"
cách giảm lag khi chơi game,Informational,390,"1.00,0.81,0.67,0.67,0.81,0.67,0.67,0.81,0.54,0.54,0.67,0.67",40,792.81,0.32,"Featured snippet, Sitelinks, AI Overview, Image pack, Video, Related searches"
cách làm đồ chơi người lớn cho nam,"Informational, Commercial",390,"0.16,0.19,0.36,0.44,0.30,0.30,0.36,0.36,0.44,0.55,0.82,1.00",5,3964.06,0.98,Sitelinks
cách vừa nghe nhạc vừa chơi game,"Informational, Commercial",390,"1.00,0.81,0.67,0.54,0.54,0.67,0.67,0.44,0.35,0.67,0.81,0.81",31,792.81,0.12,"Sitelinks, Image pack, Video, Related searches"
hướng dẫn cách chơi cờ vua,"Informational, Commercial",390,"0.54,0.81,1.00,1.00,0.81,0.67,0.67,0.67,0.67,0.81,1.00,0.67",59,264.27,0.27,"Sitelinks, Image pack, Video, Related searches"
đàn kalimba cách chơi,Informational,390,"0.66,0.54,0.81,0.81,0.66,0.54,0.54,1.00,0.66,0.81,0.81,0.66",5,0.00,0.59,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
chứng khoán là gì và cách chơi,"Informational, Commercial",320,"1.00,0.66,0.53,0.53,0.66,0.34,0.44,0.34,0.53,0.22,0.22,1.00",11,4228.33,0.49,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi 3 cây,"Informational, Commercial",320,"0.16,0.10,0.08,0.12,0.12,1.00,0.82,0.12,0.12,0.16,0.16,0.16",47,42811.84,0.02,"Video, Related searches"
cách chơi binh xập xám,Informational,320,"0.35,0.29,0.35,0.35,0.29,1.00,1.00,0.29,0.23,0.29,0.29,0.29",33,0.00,0.02,"Sitelinks, Video, Related searches"
cách chơi bài chòi,Informational,320,"0.24,0.36,0.54,0.54,0.54,1.00,1.00,0.54,0.44,0.29,0.24,0.19",28,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Related searches"
cách chơi bài mậu binh,"Informational, Commercial",320,"0.67,0.54,0.44,0.44,0.44,1.00,1.00,0.54,0.28,0.44,0.44,0.36",49,0.00,0.01,"Sitelinks, Video, Related searches"
cách chơi bài tiến lên luôn thắng,"Informational, Commercial",320,"1.00,0.81,0.53,0.66,0.66,0.34,0.28,0.44,0.28,0.28,0.34,0.28",51,0.00,0.00,"Video, Related searches"
cách chơi bài tây,"Informational, Commercial",320,"0.29,0.24,0.24,0.29,0.29,1.00,0.44,0.36,0.24,0.44,0.36,0.36",50,0.00,0.01,"Sitelinks, Video, Related searches"
cách chơi bầu tôm cua cá,"Informational, Commercial",320,"0.03,0.06,0.06,0.28,0.81,0.34,1.00,0.03,0.03,0.03,0.03,0.03",53,0.00,0.09,"Sitelinks, Video, Related searches"
cách chơi caro 3x3 luôn thắng,"Informational, Commercial",320,"0.81,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.67,0.52",50,0.00,0.00,"AI Overview, Image pack, Video, Related searches"
cách chơi chứng khoán việt nam,,320,"0.04,0.04,0.09,0.13,1.00,0.45,0.30,0.04,0.04,0.09,0.04,0.04",,12949.26,0.85,
cách chơi cờ domino,"Informational, Commercial",320,"0.82,0.67,0.54,0.67,0.67,0.82,0.82,0.54,0.54,0.67,1.00,0.82",39,264.27,0.12,"Sitelinks, Image pack, Video, Related searches"
cách chơi cờ thú,"Informational, Commercial",320,"1.00,0.53,0.53,0.53,0.53,1.00,0.53,0.53,0.53,0.81,1.00,0.66",54,0.00,0.14,"Sitelinks, Image, Image pack, Video, Related searches"
cách chơi cờ tướng cho người mới bắt đầu,"Informational, Commercial",320,"1.00,0.82,0.82,1.00,0.67,0.67,0.67,0.54,0.44,0.67,0.54,0.67",34,792.81,0.11,"Sitelinks, Image pack, Video, Related searches, Ads top"
cách chơi cờ tỷ phú giấy,"Informational, Commercial",320,"0.67,0.54,0.36,0.36,0.36,0.82,0.67,0.36,0.54,1.00,1.00,0.82",52,264.27,0.55,"Sitelinks, Image pack, Video, Related searches"
cách chơi cờ vua cho người mới chơi,"Informational, Commercial",320,"0.36,0.44,0.66,1.00,0.66,0.54,0.44,0.44,0.54,0.54,0.29,0.24",58,264.27,0.36,"Sitelinks, Image pack, Video, Related searches"
cách chơi cờ vua giỏi nhất,Informational,320,"0.67,1.00,0.81,0.81,0.44,0.44,0.35,0.44,0.29,0.35,0.29,0.29",35,0.00,0.12,"Featured snippet, Image pack, Video, Related searches"
cách chơi cờ vua hay,"Informational, Commercial",320,"0.54,0.54,1.00,0.81,0.81,0.67,0.44,0.44,0.35,0.44,0.44,0.35",59,264.27,0.14,"Sitelinks, Image pack, Video, Related searches"
cách chơi cờ vua luôn thắng,Informational,320,"0.35,0.54,0.81,1.00,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.44",34,264.27,0.06,"Image pack, Video, Related searches"
cách chơi cờ đam,"Informational, Commercial",320,"1.00,0.81,1.00,1.00,0.81,1.00,1.00,0.66,0.66,1.00,1.00,0.81",41,0.00,0.03,"Sitelinks, Image pack, Video, Related searches"
cách chơi ff trên pc,"Informational, Commercial",320,"1.00,0.81,0.81,0.54,0.54,0.54,0.44,0.54,0.67,0.67,1.00,1.00",33,2378.44,0.04,"Image pack, Video, Related searches"
cách chơi free fire giỏi,Informational,320,"1.00,1.00,1.00,0.81,0.66,0.66,0.66,0.53,0.44,0.53,0.44,0.53",22,0.00,0.01,"AI Overview, Image pack, Video, Related searches"
cách chơi genshin impact,Informational,320,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.67,0.54",20,3699.79,0.04,"Sitelinks, Image pack, Video, Related searches"
cách chơi hồng phiến,"Informational, Commercial",320,"1.00,0.81,0.67,0.29,0.23,0.23,0.10,0.15,0.19,0.19,0.19,0.23",22,0.00,0.00,Sitelinks
cách chơi krixi,"Informational, Commercial",320,"0.44,0.29,0.19,0.36,0.54,0.36,0.44,0.54,0.54,0.67,1.00,0.54",21,264.27,0.01,"Sitelinks, AI Overview, Related searches"
cách chơi liliana,"Informational, Commercial",320,"1.00,0.82,1.00,0.67,0.54,0.54,0.44,0.54,0.54,0.54,0.54,0.67",34,0.00,0.00,"Sitelinks, Image pack, Video, People also ask, Related searches"
cách chơi liên minh,Informational,320,"0.81,0.66,0.81,1.00,0.66,0.53,0.53,0.44,0.53,0.53,0.53,0.66",61,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi lô to hội chợ,Informational,320,"0.54,0.35,0.35,0.35,0.54,1.00,0.81,0.35,0.29,0.29,0.29,0.29",70,0.00,0.06,"Featured snippet, Sitelinks, Image pack, Video, Related searches"
cách chơi lô đề miền bắc,Informational,320,"1.00,0.82,0.82,0.67,0.67,0.36,0.67,0.67,0.44,0.44,0.67,0.67",17,0.00,0.00,"Image pack, Video, People also ask, Related searches"
cách chơi minecraft pe trên pc,"Informational, Transactional",320,"0.66,0.44,0.44,0.44,0.54,0.54,0.44,0.44,0.44,0.81,1.00,0.66",24,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
cách chơi nối từ luôn thắng,Informational,320,"0.66,0.44,0.54,0.54,0.66,0.44,0.66,0.54,0.66,1.00,0.81,0.29",30,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi phỏm 9 cây,"Informational, Commercial",320,"0.54,0.67,0.54,0.54,0.54,0.81,1.00,0.67,0.67,0.67,0.67,0.67",28,0.00,0.01,"Video, Related searches"
cách chơi roulette,"Informational, Commercial",320,"1.00,1.00,1.00,0.81,0.81,0.65,0.65,0.65,0.65,0.54,0.54,0.54",43,0.00,0.00,"Video, Related searches"
cách chơi rubik 3x3 nhanh nhất,"Informational, Commercial",320,"1.00,0.81,0.65,1.00,0.54,0.65,0.54,0.54,0.42,0.35,0.19,0.15",53,264.27,0.20,"Sitelinks, Image pack, Video, Related searches"
cách chơi sudoku cho người mới bắt đầu,"Informational, Commercial",320,"0.82,0.82,0.67,0.54,0.44,0.28,0.36,0.36,0.54,1.00,0.67,0.82",25,2114.16,0.08,"Sitelinks, Image pack, Video, Related searches"
cách chơi summertime saga,Informational,320,"0.66,0.44,0.54,0.81,0.66,1.00,1.00,0.66,0.54,0.44,0.66,0.44",28,0.00,0.00,"Sitelinks, AI Overview"
cách chơi teaching feeling,"Informational, Commercial",320,"0.54,0.29,0.29,1.00,0.66,0.54,0.29,0.44,0.66,0.44,0.44,0.44",28,0.00,0.00,Related searches
cách chơi tel annas,Informational,320,"1.00,0.66,0.53,0.66,0.53,0.53,0.53,0.66,0.44,0.53,0.53,0.53",49,0.00,0.00,"AI Overview, Image pack, Video, Related searches"
cách chơi tiền ảo,"Informational, Commercial",320,"0.54,0.54,0.35,0.81,0.67,0.35,1.00,0.81,0.44,0.44,0.35,0.44",35,10570.82,0.37,"Sitelinks, AI Overview, Video, Related searches"
cách chơi trò chơi,"Informational, Commercial",320,"1.00,0.67,0.82,0.67,0.67,0.54,0.54,0.54,0.67,0.82,0.67,0.67",34,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi xì lát,"Informational, Commercial",320,"0.09,0.07,0.05,0.07,0.09,1.00,0.59,0.05,0.03,0.05,0.04,0.04",53,0.00,0.00,"Sitelinks, Video, Related searches"
cách chơi xì tố,"Informational, Transactional",320,"0.44,0.35,0.29,0.44,0.44,1.00,1.00,0.54,0.54,0.44,0.44,0.35",46,0.00,0.00,"Sitelinks, Video carousel, Related searches"
cách chơi xổ số,"Informational, Commercial",320,"0.67,0.54,0.67,0.67,0.67,0.67,1.00,0.67,0.67,0.54,0.44,0.67",48,0.00,0.00,"Image pack, Video, Related searches"
cách chơi yes no,Informational,320,"1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.67,0.67,0.33,0.43,0.24",34,0.00,0.00,"Featured snippet, AI Overview, Image pack, Video, Related searches"
cách chơi đàn guitar,Informational,320,"1.00,0.81,1.00,1.00,1.00,0.81,0.81,0.81,0.81,1.00,1.00,1.00",24,528.54,0.26,"Image pack, Video, Related searches"
cách chơi đàn melodica,Informational,320,"0.12,0.44,0.44,1.00,0.02,0.02,0.07,0.02,0.02,0.02,0.02,0.02",28,0.00,0.38,"Sitelinks, Image, Image pack, Video, Related searches"
cách gấp đồ chơi bằng giấy,Informational,320,"0.54,0.35,0.44,0.67,0.81,0.54,0.67,1.00,0.81,1.00,0.81,1.00",27,0.00,0.06,"Image, Image pack, Video, Related searches"
cách làm trò chơi trắc nghiệm trên powerpoint,"Informational, Commercial",320,"0.19,0.66,1.00,0.66,0.54,0.24,0.54,0.54,0.44,0.15,0.12,0.12",27,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
cách làm đồ chơi đơn giản,"Informational, Commercial",320,"0.03,0.03,0.03,0.66,0.81,0.03,0.03,0.22,0.06,1.00,0.16,0.66",34,0.00,0.23,"Image, Image pack, Video, Related searches"
cách tạo trò chơi trên scratch,Informational,320,"0.11,0.21,0.26,0.21,0.21,0.21,0.32,0.88,1.00,0.72,0.21,0.21",34,0.00,0.01,"Featured snippet, Image pack, Video, Related searches"
cờ tướng cách chơi,"Informational, Commercial",320,"1.00,0.81,1.00,1.00,0.81,0.81,0.81,1.00,0.66,0.81,0.81,0.66",55,264.27,0.13,"Sitelinks, Image pack, Video, Related searches"
chứng khoán là gì và cách chơi chứng khoán,,260,"0.09,0.09,0.09,0.39,0.09,0.09,0.09,0.09,1.00,0.09,0.88,0.09",,2906.98,0.64,
cách chơi bi sắt,Informational,260,"1.00,0.44,0.24,0.19,0.30,0.30,0.16,0.19,0.55,0.19,0.06,0.06",23,0.00,0.00,"AI Overview, Image, Image pack, Video, Related searches"
cách chơi bida phăng,"Informational, Commercial",260,"1.00,0.81,0.81,0.67,0.67,0.67,0.67,0.67,0.43,0.52,0.43,0.67",44,0.00,0.04,"Sitelinks, Image pack, Video, Related searches"
cách chơi binomo,"Informational, Commercial",260,"0.67,0.67,0.54,0.67,0.67,0.67,1.00,0.67,0.82,0.54,0.54,0.67",15,15856.24,0.51,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi binomo thắng 100,Informational,260,"0.67,0.67,1.00,0.67,0.44,0.29,0.35,0.35,0.35,0.35,0.54,0.67",16,5021.14,0.54,"Sitelinks, AI Overview, Image pack, Video"
cách chơi blitzcrank sp,"Informational, Commercial",260,"0.23,0.44,0.54,0.54,0.54,0.44,1.00,0.82,0.67,0.82,0.82,0.82",12,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi bài chắn,"Informational, Commercial",260,"1.00,0.53,0.53,0.44,0.53,0.66,0.81,0.66,0.44,0.34,0.44,0.53",45,0.00,0.02,"Sitelinks, Image, Video, Related searches"
cách chơi bài câu cá,"Informational, Commercial",260,"0.54,0.36,0.28,0.28,0.28,1.00,1.00,0.36,0.28,0.28,0.36,0.36",44,0.00,0.00,"Video, Related searches"
cách chơi bài pokemon,"Informational, Commercial",260,"1.00,0.81,1.00,1.00,0.81,0.65,0.54,0.81,0.54,0.54,0.54,0.54",16,0.00,0.10,"Sitelinks, Video, Related searches"
cách chơi bài tố,Informational,260,"0.19,0.02,0.05,0.01,0.03,0.55,1.00,0.01,0.05,0.01,0.01,0.01",51,0.00,0.00,"Sitelinks, Video carousel, Related searches"
